task_id,representation,band_code,band,batch_code,heldout_fold,record_count,category_count,model_count,uav_record_count,uav_present,bird_record_count,bird_present,weather_record_count,weather_present
hrrp_x_category,HRRP,2,X,6,1,536,1,1,0,False,536,True,0,False
hrrp_x_category,HRRP,2,X,7,2,26,1,1,0,False,26,True,0,False
hrrp_x_category,HRRP,2,X,18,3,22,1,1,0,False,22,True,0,False
hrrp_x_category,HRRP,2,X,50,4,11,2,2,8,True,0,False,3,True
hrrp_x_category,HRRP,2,X,73,1,80,1,1,80,True,0,False,0,False
hrrp_x_category,HRRP,2,X,83,5,32,2,2,0,False,2,True,30,True
hrrp_x_category,HRRP,2,X,123,2,14,2,2,0,False,13,True,1,True
hrrp_x_category,HRRP,2,X,145,1,147,1,1,147,True,0,False,0,False
hrrp_x_category,HRRP,2,X,148,3,2,1,1,0,False,0,False,2,True
hrrp_x_category,HRRP,2,X,159,3,83,1,1,83,True,0,False,0,False
hrrp_x_category,HRRP,2,X,189,3,96,1,1,96,True,0,False,0,False
hrrp_x_category,HRRP,2,X,192,2,28,2,2,0,False,27,True,1,True
hrrp_x_category,HRRP,2,X,206,2,38,1,1,38,True,0,False,0,False
hrrp_x_category,HRRP,2,X,247,5,19,1,1,0,False,0,False,19,True
hrrp_x_category,HRRP,2,X,279,1,7,2,2,0,False,3,True,4,True
hrrp_x_category,HRRP,2,X,337,5,295,1,1,295,True,0,False,0,False
hrrp_x_category,HRRP,2,X,361,1,15,1,1,0,False,0,False,15,True
hrrp_x_category,HRRP,2,X,379,3,25,2,2,0,False,21,True,4,True
hrrp_x_category,HRRP,2,X,420,3,378,1,1,0,False,0,False,378,True
hrrp_x_category,HRRP,2,X,428,4,49,1,1,0,False,0,False,49,True
hrrp_x_category,HRRP,2,X,432,4,67,1,1,0,False,0,False,67,True
hrrp_x_category,HRRP,2,X,469,1,4,1,1,0,False,0,False,4,True
hrrp_x_category,HRRP,2,X,502,2,31,1,1,31,True,0,False,0,False
hrrp_x_category,HRRP,2,X,524,4,91,1,1,0,False,91,True,0,False
hrrp_x_category,HRRP,2,X,534,2,59,2,2,0,False,56,True,3,True
hrrp_x_category,HRRP,2,X,587,5,35,1,1,0,False,0,False,35,True
hrrp_x_category,HRRP,2,X,594,2,315,1,1,0,False,0,False,315,True
hrrp_x_category,HRRP,2,X,641,2,211,1,1,211,True,0,False,0,False
hrrp_x_category,HRRP,2,X,667,4,64,2,2,0,False,57,True,7,True
