current_split,class_name,target_present,sample_id,source_file_raw,exact_group,timestamp,timestamp_iso,mat_path,label_path,file_size_bytes,sha256,class_group_key,session_gap30,session_gap60,session_gap120,session_gap300
train,background,0,20260204_100739_beam1_az010,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az010.mat,,109646,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az037,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az037.mat,,99489,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az046,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az046.mat,,111006,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az055,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az055.mat,,103036,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az073,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az073.mat,,106316,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az082,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az082.mat,,107665,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az091,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az091.mat,,109676,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az109,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az109.mat,,109182,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az118,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az118.mat,,111672,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az127,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az127.mat,,104561,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az145,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az145.mat,,106154,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az154,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az154.mat,,109873,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az163,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az163.mat,,105527,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az181,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az181.mat,,105228,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az199,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az199.mat,,107282,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az208,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az208.mat,,102232,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az217,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az217.mat,,104505,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az226,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az226.mat,,106402,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az235,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az235.mat,,106644,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az244,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az244.mat,,102146,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az253,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az253.mat,,103275,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam1_az262,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az262.mat,,98129,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam2_az001,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam2_az001.mat,,110199,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
train,background,0,20260204_100739_beam2_az010,20260204_100739,20260204_100739,20260204_100739,2026-02-04T10:07:39,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam2_az010.mat,,107301,,background::20260204_100739,background_session_gap30_001,background_session_gap60_001,background_session_gap120_001,background_session_gap300_001
