sample_id,split,target_present,mat_path,iq_shape,peak_velocity_index,peak_range_index,global_zdr_median,global_zdr_iqr,global_rho_mean,global_rho_median,global_phase_resultant,finite_fraction,peak_zdr_mean,peak_zdr_median,peak_zdr_std,peak_rho_mean,peak_rho_median,peak_rho_p10,peak_phase_resultant,peak_phase_cos_mean,peak_phase_sin_mean,peak_stokes_s1_mean,peak_stokes_s2_mean,peak_stokes_s3_mean,true_range_index,true_velocity_index,target_zdr_mean,target_zdr_median,target_zdr_std,target_rho_mean,target_rho_median,target_rho_p10,target_phase_resultant,target_phase_cos_mean,target_phase_sin_mean,target_stokes_s1_mean,target_stokes_s2_mean,target_stokes_s3_mean
20260204_100739_beam1_az082,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az082.mat,"(128, 100)",64,35,0.1189531721174717,3.1959254443645477,0.36474757701286764,0.33565324544906616,0.05805012583732605,1.0,-1.651668167114258,-1.624483346939087,0.35400504015767476,0.9971090865135193,0.9980983734130859,0.9932609558105469,0.9995613694190979,0.07364803597331047,-0.9968445873260499,-0.18759536802768706,0.07191401228308678,0.9755052042007446,-1,-1,,,,,,,,,,,,
20260204_100739_beam1_az109,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az109.mat,"(128, 100)",64,9,-0.24687927961349487,3.131064683198929,0.35468752116714314,0.31969408690929413,0.08457868546247482,1.0,-1.0523663187026977,-1.0638140439987183,0.016764865836528708,0.9999575662612915,0.9999996423721313,0.9998680114746094,0.9999989867210388,0.671910982131958,-0.7406304836273193,-0.1205683296918869,0.6669796681404114,0.7351952052116394,-1,-1,,,,,,,,,,,,
20260204_100739_beam1_az163,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az163.mat,"(128, 100)",64,9,0.13199786096811295,3.0372092723846436,0.3665628004980317,0.3361920714378357,0.06696473807096481,1.0,-1.0504615545272826,-1.0626354217529297,0.01746878616461934,0.9999576044082642,0.9999996423721313,0.9998683929443359,0.999998927116394,0.6717497086524964,-0.7407767534255981,-0.12035218179225922,0.666837100982666,0.7353597474098206,-1,-1,,,,,,,,,,,,
20260204_100739_beam1_az172,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/test/Background_IQ/IQ_Data/20260204_100739_beam1_az172.mat,"(128, 100)",64,9,0.03894069604575634,3.172765791416168,0.35732093287831956,0.32525789737701416,0.028192227706313133,1.0,3.0195570755004884,3.0547029972076416,0.04806787245103978,0.9996725153923035,0.9999985098838806,0.9989817142486572,0.9999920725822449,0.670723774433136,-0.7416966128349304,0.3342712736129761,0.6319205164909363,0.6987953042984009,-1,-1,,,,,,,,,,,,
20260204_100739_beam2_az010,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam2_az010.mat,"(128, 100)",64,9,-0.0031025249045342207,2.9343249797821045,0.3580289676907705,0.32403694093227386,0.06327838450670242,1.0,0.005259477868676186,-0.003102837363258004,0.011946274894386677,0.9999283266067505,0.9999996423721313,0.9997773170471191,0.9999954700469971,0.5598560094833374,-0.8285844683647156,0.0006055179599206895,0.5598154830932617,0.8285239911079407,-1,-1,,,,,,,,,,,,
20260204_100739_beam2_az055,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam2_az055.mat,"(128, 100)",64,9,-0.04332807660102844,2.8397819697856903,0.35473004148034304,0.321087047457695,0.06683887541294098,1.0,0.14545090854167939,0.13790073990821838,0.011515056873877131,0.9999840664863586,0.9999997615814209,0.9999506711959839,0.9999999403953552,0.6562030982971191,-0.7545842862129212,0.016744059659540653,0.6561000847816467,0.7544658017158509,-1,-1,,,,,,,,,,,,
20260204_100739_beam2_az226,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/val/Background_IQ/IQ_Data/20260204_100739_beam2_az226.mat,"(128, 100)",64,27,-0.18670572340488434,3.2941716015338898,0.37154037010983304,0.33515435457229614,0.02060280553996563,1.0,3.1512119817733764,5.348941802978516,3.5434307248466896,0.800591197013855,0.9639310240745544,0.48118149042129515,0.9367821216583252,-0.10525712996721268,-0.9308499717712402,0.3140890523791313,-0.028235342055559158,0.6500792932510376,-1,-1,,,,,,,,,,,,
20260204_100739_beam2_az235,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam2_az235.mat,"(128, 100)",64,9,0.07878024131059647,2.8967849612236023,0.3531663743194804,0.3206600993871689,0.04121527448296547,1.0,0.14533839583396913,0.13681089878082275,0.012833185395968085,0.9999835109710693,0.9999998211860657,0.9999489188194275,1.0,0.6560242748260499,-0.7547397637367248,0.016731102578341962,0.6559209227561951,0.7546208429336548,-1,-1,,,,,,,,,,,,
20260204_100739_beam3_az037,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam3_az037.mat,"(128, 100)",64,39,0.25087007880210876,3.0110815465450287,0.3603871276586233,0.3206959366798401,0.06493614614009857,1.0,3.993648176193237,3.9655826091766357,0.044443174288096875,0.9992388463020325,0.999870777130127,0.9967382907867431,0.9999918341636658,0.9978742837905884,0.06504427954554558,0.42990038633346556,0.9002617740631104,-0.05867564469575882,-1,-1,,,,,,,,,,,,
20260204_100739_beam3_az073,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam3_az073.mat,"(128, 100)",64,9,0.1978774145245552,2.951021760702133,0.35880551576065045,0.32444243133068085,0.09557026624679565,1.0,0.7516774296760559,0.7453310489654541,0.008733479225936787,0.9999925804138183,0.9999998211860657,0.9999772310256958,0.9999999403953552,0.6037447738647461,-0.7971775555610656,0.086324582695961,0.6014862322807312,0.7941954684257507,-1,-1,,,,,,,,,,,,
20260204_100739_beam3_az082,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/val/Background_IQ/IQ_Data/20260204_100739_beam3_az082.mat,"(128, 100)",64,41,-0.008224755059927702,2.9288547039031982,0.3728449145614695,0.3347312957048416,0.05600336939096451,1.0,-0.49418465197086336,-0.42849358916282654,0.17337892577075184,0.9982486367225647,0.999529242515564,0.9948816061019897,0.9999977946281433,-0.09090425491333008,-0.9958573484420776,-0.05681065447628498,-0.0905832141637802,0.9923120284080506,-1,-1,,,,,,,,,,,,
20260204_100739_beam3_az118,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/test/Background_IQ/IQ_Data/20260204_100739_beam3_az118.mat,"(128, 100)",64,9,-0.005702685564756393,2.9492017328739166,0.36800179726262283,0.3358277231454849,0.07582705467939377,1.0,0.11518037497997284,0.10595135390758514,0.013214484508674653,0.999985876083374,0.9999998211860657,0.9999564290046692,0.9999999403953552,0.5651097536087036,-0.8250157284736633,0.01325982205569744,0.5650514435768127,0.8249305891990661,-1,-1,,,,,,,,,,,,
20260204_100739_beam3_az145,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam3_az145.mat,"(128, 100)",64,9,0.1746804565191269,3.046364575624466,0.3540288099736426,0.31944893300533295,0.08148960024118423,1.0,0.7516588306427002,0.7473698854446411,0.007751840494792752,0.9999917840957642,0.9999998211860657,0.9999744892120361,1.0,0.6035389614105224,-0.7973333859443664,0.08632247507572174,0.601280882358551,0.7943503212928772,-1,-1,,,,,,,,,,,,
20260204_100739_beam3_az163,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam3_az163.mat,"(128, 100)",64,9,0.4044560641050339,2.993028402328491,0.3641955580572176,0.3290676027536392,0.04497532919049263,1.0,0.7507585787773132,0.7455824017524719,0.007654005805776839,0.9999913954734803,0.9999997019767761,0.9999735593795777,0.9999998807907104,0.6036804485321045,-0.7972261953353882,0.08621960341930389,0.601426990032196,0.7942503404617309,-1,-1,,,,,,,,,,,,
20260204_100739_beam3_az199,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam3_az199.mat,"(128, 100)",64,9,0.17857981473207474,2.953327566385269,0.3600125318065329,0.32645340263843536,0.06588898599147797,1.0,0.7526053214073181,0.7477885484695435,0.00787632197811213,0.9999916672706604,0.9999997019767761,0.9999743103981018,0.9999998807907104,0.6037239050865173,-0.7971933579444885,0.08643062949180604,0.6014593958854675,0.7942032384872436,-1,-1,,,,,,,,,,,,
20260204_100739_beam4_az127,test,0,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam4_az127.mat,"(128, 100)",64,9,0.04274882934987545,2.953940749168396,0.35437521865920646,0.32439903914928436,0.04522375762462616,1.0,-0.7652133965492248,-0.7667151689529419,0.004730011179706964,0.9999912309646607,0.9999988079071045,0.9999740362167359,0.9999997615814209,0.7616582822799682,-0.6479785013198852,-0.08787120580673217,0.7587053203582763,0.6454662346839904,-1,-1,,,,,,,,,,,,
